Algeria,1
Argentina,2
Australia,47
Austria,3
Barbados,3
Belgium,9
Benin,1
Brazil,32
Canada,131
Chile,2
Colombia,1
Cuba,2
Denmark,5
Finland,6
France,48
Germany,55
Greece,2
Iceland,7
Indonesia,1
Ireland,51
Italy,48
Jamaica,36
Japan,3
Mexico,6
Netherlands,7
New Zealand,5
Norway,12
Pakistan,1
Poland,1
Portugal,1
South Africa,3
Spain,6
Sweden,44
Switzerland,6
Trinidad and Tobago,1
United Kingdom,1140
United States,3611
