index,artist,title,language,location,year,LAT,LONG,SHORT_NAME
72,André Hazes & Peter Beense,Waarom (My Way),Dutch,Netherlands,2007,52.5,5.75,Netherlands
73,André Hazes jr.,Waarom,Dutch,Netherlands,2014,52.5,5.75,Netherlands
74,Will Tura,Alleen gaan,Dutch,Belgium,1998,50.833333,4.0,Belgium
75,Raymond van het Groenewoud,Zoals Gewoonlijk,Dutch,Belgium,2004,50.833333,4.0,Belgium
76,Frank Sinatra,My Way,English,United States,1969,39.828175,-98.5795,United States
77,Top of the Pops,My Way,English,United Kingdom,1969,54.0,-4.0,United Kingdom
78,Jerry Vale,My Way,English,United States,1969,39.828175,-98.5795,United States
79,The Anita Kerr Singers,My Way,English,United States,1969,39.828175,-98.5795,United States
80,Paul Anka,My Way,English,Canada,1969,60.0,-96.0,Canada
81,Roy Drusky,My Way,English,United States,1969,39.828175,-98.5795,United States
82,Eddy Arnold,My Way,English,United States,1969,39.828175,-98.5795,United States
83,Lore'z Alexandria,My Way,English,United States,1969,39.828175,-98.5795,United States
84,Andy Williams,My Way,English,United States,1969,39.828175,-98.5795,United States
85,Bill Medley,My Way,English,United States,1969,39.828175,-98.5795,United States
86,The Platters,My Way,English,United States,1969,39.828175,-98.5795,United States
87,John Davidson,My Way,English,United States,1969,39.828175,-98.5795,United States
88,Steve Lawrence,My Way,English,United States,1969,39.828175,-98.5795,United States
89,George Wright,My Way,English,United States,1969,39.828175,-98.5795,United States
90,Hugo Montenegro,My Way,English,United States,1969,39.828175,-98.5795,United States
91,Joe Dolan,My Way,English,Ireland,1969,53.0,-8.0,Ireland
92,Dionne Warwick,My Way,English,United States,1970,39.828175,-98.5795,United States
93,Glen Campbell,My Way,English,United States,1970,39.828175,-98.5795,United States
94,Shirley Bassey,My Way,English,United Kingdom,1970,54.0,-4.0,United Kingdom
95,Irene Reid,My Way,English,United States,1970,39.828175,-98.5795,United States
96,Salena Jones,My Way,English,United States,1970,39.828175,-98.5795,United States
97,Samantha Jones,My Way,English,United Kingdom,1970,54.0,-4.0,United Kingdom
98,Joe Berluck,My Way,English,Belgium,1970,50.833333,4.0,Belgium
99,Sammy Davis Jr.,My Way,English,United States,1970,39.828175,-98.5795,United States
100,Dorothy Squires,My Way,English,United Kingdom,1970,54.0,-4.0,United Kingdom
101,Brook Benton,My Way,English,United States,1970,39.828175,-98.5795,United States
102,Vera Lynn,My Way,English,United Kingdom,1970,54.0,-4.0,United Kingdom
103,Matt Monro,My Way,English,United Kingdom,1970,54.0,-4.0,United Kingdom
104,John Raitt,My Way,English,United States,1970,39.828175,-98.5795,United States
105,Chairmen of the Board,My Way,English,United States,1970,39.828175,-98.5795,United States
106,Al Martino,My Way,English,United States,1970,39.828175,-98.5795,United States
107,Tom Jones,My Way,English,United Kingdom,1971,54.0,-4.0,United Kingdom
108,Helen O'Connell,My Way,English,United States,1971,39.828175,-98.5795,United States
109,Jackie Wilson,My Way,English,United States,1971,39.828175,-98.5795,United States
